COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Wayne County,MI,119202.2714274594,138224.8101967215,152778.71046787474,6.079787442e-06,1098169556.011775,1.225707576962654,6.079787442e-06,1127534383.5721729,1.199505772402663,9.999999747e-06,1712692299570.3557,65.47884187082406
Alameda County,CA,851715.3216709876,992460.8712036862,1047083.4429857696,0.004685229245489,101815263661.46678,20.917228121137605,0.004685229245489,104526182289.95567,20.9092493854662,0.00370112800257,299948929604.49115,96.18199172764872
New York County,NY,1258010.9739332944,1279995.3634308183,1152611.53137584,9.57775734e-07,0.0,0.0,9.57775734e-07,0.0,0.0,4.2341204021e-05,44961900962.548096,11.963092586700604
Middlesex County,MA,568448.4600598603,630765.4931995556,707781.4167076382,5.3426438613e-05,146992258436.5267,4.279017280329841,5.3426438613e-05,150895915915.86456,4.363584249928357,0.000178669976901,518612627728.1204,78.93732103086222
Philadelphia County,PA,184930.20672009583,203709.4125369403,210519.65412319405,5.2675326903e-05,2545869328.5732126,3.926000374468003,5.2675326903e-05,2613421838.50472,3.911921801127087,0.000137003712831,12451653693.024504,31.307667833280306
Sacramento County,CA,401775.8216862054,474563.4186602262,508870.2856746155,0.001447238363526,42709257571.502205,16.324684998084606,0.001447238363526,43914565720.08382,16.13841149977698,0.002537941913279,169863232337.62274,93.00031816735604
Suffolk County,NY,475659.25761212345,530852.7899812834,595037.4640263323,2.4622918922e-05,65602265213.82961,4.311264864302805,2.4622918922e-05,67349273825.92539,4.392736034339995,7.6454086774e-05,518398355749.7424,70.85587018771874
Palm Beach County,FL,304526.0161974448,352942.5513581238,472172.6019571093,0.005390064614834,194881893938.1032,41.28651269140863,0.005390064614834,200131700296.50912,41.30667941522798,0.006717241598386,472116326584.34686,96.78650970410436
Bronx County,NY,533031.5008499898,539982.9353422571,452483.49590869294,4.728413089e-06,5970109.772504827,0.900061491461332,4.728413089e-06,6116314.58348264,0.900042711248153,0.000116555158943,2056793014.364636,0.954502068087814
Hillsborough County,FL,246279.20066649056,293254.7959334377,381537.8854810147,0.001475460675379,512859954672.4056,26.40280911237585,0.001475460675379,526708594262.621,26.41459596126149,0.003345218004845,926920042051.4396,97.23194400254532
Orange County,FL,269718.20511426,306100.80369721755,393210.2969675862,0.009382293366156,377915586815.38464,40.22407088355094,0.009382293366156,388084243440.0424,40.20185366239759,0.007345544405718,905616691301.186,99.45911549475024
Nassau County,NY,596374.5018118954,644073.5597564266,706460.5241932728,1.7294850991e-05,10448900310.636776,1.866553305575694,1.7294850991e-05,10724410594.231249,1.865743196105038,8.3888633781e-05,112264216321.2704,57.65192491250398
Franklin County,OH,198174.9994000588,227864.8301296587,268620.3099500711,7.940849384e-06,1941744030.0500484,0.921464249110992,7.940849384e-06,1993292659.97531,0.90399830439318,1.9286441729e-05,392677792127.9218,46.61151765828826
Oakland County,MI,253435.7229410436,284848.9821846894,318908.14355417364,1.5557939406e-05,8983693447.606852,1.296761066279665,1.5557939406e-05,9222082272.399036,1.275811699186376,1.0052737861e-05,3556764214312.6606,73.24212535793825
Hennepin County,MN,307723.1543939815,337992.0744998949,360197.0477616424,0.000116560422402,167443798060.6644,9.207328942144548,0.000116560422402,171893767486.25803,8.468304794953514,0.000240065581771,830553997023.6333,84.60069996818326
Travis County,TX,375613.188784066,485655.1088022671,524302.9977123035,0.000683602372099,273162830725.60327,14.246783092186917,0.000683602372099,280431106779.893,14.52935069848632,0.000478077694545,1483396719134.3015,93.28666878778238
Cuyahoga County,OH,138172.4767181743,158315.7271552685,181549.4309831689,1.08968058e-07,0.0,0.0,1.08968058e-07,0.0,0.0,9.999999747e-06,2123696391211.2312,67.45147947820553
Allegheny County,PA,168844.4194351067,192891.3462518433,207557.98049064868,1.372450382e-06,637074940.0952251,0.530203539680818,1.372450382e-06,653993727.8733627,0.521426093453349,9.999999747e-06,3673215351389.1313,72.89214126630608
Salt Lake County,UT,388950.6430151577,474362.9448434611,533043.133034253,0.002908043968137,173546050813.3764,18.31720641309026,0.002908043968137,178167217932.24353,18.311659261769822,0.006571686445043,706528221451.2747,99.23639834552976
Contra Costa County,CA,640926.5492301885,755169.5938323891,786567.3872196918,0.003239503237616,191458648963.9856,22.365865806330685,0.003239503237616,196551139143.38345,22.35691015846788,0.003064316929879,356109882333.1767,95.92745784282532
Fairfax County,VA,579098.2501523807,635363.982874927,687174.9495870065,8.0182192258e-05,1297964416.5653677,0.413966957027521,8.0182192258e-05,1332154535.2971056,0.413020554139612,1.1731828747e-05,660966580067.5073,48.45688832325804
Wake County,NC,322830.33934664546,375414.4769250858,468033.271768226,4.7954857047e-05,21793128837.63503,2.575823174220719,4.7954857047e-05,22374224451.12835,2.449849919154634,1.9114490985e-05,2333938380721.783,74.06936048361437
Mecklenburg County,NC,272082.1917295117,324402.4190080722,398063.5949949743,4.4312486877e-05,6837491919.942164,2.341569557186439,4.4312486877e-05,7018652378.1784,2.48877126602276,1.0045683941e-05,4453285078249.04,77.31466751511294
Montgomery County,MD,497735.8952940455,549823.4752700698,587629.4551860595,9.1036362346e-05,1611576528.4761617,0.993291785172662,9.1036362346e-05,1654170371.674434,0.990922786822581,1.7058923691e-05,222174134498.2353,32.26216990136812
Fulton County,GA,310538.72638329025,350675.10275175684,415835.5529251069,4.9118096086e-05,4856788229.356508,1.809886667895526,4.9118096086e-05,4985918490.784184,1.807778071774931,1.8082967466e-05,1057300431281.455,62.07445116131085
Collin County,TX,337591.95073953626,397174.6920141631,505800.03128569,0.000314448165398,106756710006.95952,4.318870588723414,0.000314448165398,109613378890.60612,4.294990704120518,0.000393573260904,898149506539.4442,86.63697104677061
Pima County,AZ,237705.31430976183,285761.3584212567,335988.366743442,0.002732598061771,965668364326.3496,56.48131391675247,0.002732598061771,991462462783.461,56.47663090229815,0.004637662935039,1739380630671.366,99.74546611517655
Honolulu County,HI,672011.9344826484,745590.2630866173,847441.9184927447,0.0,0.0,0.0,0.0,0.0,0.0,0.014591755655647,564726746511.1028,98.98186446070632
