STATE,COUNTY,RISK_SCORE,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020
KY,Johnson County,11.22594469035588,0.006154988102887,15421587156.137386,14.288539890247408
KY,Kenton County,16.04042910006685,9.493349462e-06,0.0,0.0
KY,Knott County,15.810246193069744,0.007799439871011,7851687181.015805,14.374273174023404
KY,Knox County,13.28070134388246,0.007466757394812,26091916104.569828,21.166470280498714
KY,Larue County,5.970874904970209,8.6607631873e-05,11858796.098665169,0.232733169179673
KY,Laurel County,13.400023502869512,0.005975314079231,39662737842.75649,20.91154294133573
KY,Lawrence County,8.734211147075662,0.003030561803317,14994982768.817726,10.757087381976667
KY,Lee County,5.744097386120835,0.002170462833789,12067757646.252428,8.573909292835847
KY,Leslie County,7.829433274712962,0.007272422815153,2197461686.743124,9.330905212805774
KY,Letcher County,12.793534121452211,0.006541666182792,7393038093.882536,13.022727506542594
KY,Lewis County,8.377438237157222,0.000435136522788,8700162097.004225,6.022165103112295
KY,Lincoln County,8.839913981724271,0.001004948950435,697049146.982966,2.973881376556317
KY,Livingston County,11.187335138577907,9.3585117499e-05,38058296.22264761,0.488790510988429
KY,Lyon County,7.995532270620925,8.8373276338e-05,34341231.18358803,0.568181117815115
KY,McCracken County,21.24067804145652,3.5857254359e-05,406753427.35038793,1.236455066844038
KY,McCreary County,7.568053079982677,0.002378744266095,7744772717.560948,9.20350864212288
KY,McLean County,8.83132191178907,4.5914476267e-05,0.0,0.0
KY,Madison County,12.295972959770337,0.001388098010885,3223628598.091628,5.371608807074685
KY,Logan County,8.968825889936904,0.000125338542116,94377574.24732123,0.835760529954828
KY,Magoffin County,8.510149712614988,0.007057620437843,13002290934.209684,13.567000029608977
KY,Marion County,7.074679254568689,0.000158145362062,133829248.26476538,0.748024804030913
KY,Marshall County,13.053900653453882,9.5928880466e-05,469450931.8982079,1.180588421705704
KY,Martin County,6.814702948110498,0.008785705590568,9509911895.980995,9.838788249633463
KY,Mason County,9.850953593440591,0.000320219363352,436994838.6128895,1.86834114494539
KY,Meade County,5.75407132114537,6.2622091284e-05,175968119.07911593,0.505373983633039
KY,Menifee County,9.736061586615252,0.001658329465026,11065668100.604809,12.963968759265605
KY,Mercer County,9.651088599138856,0.000234867906597,64714453.29849005,0.856090950805021
KY,Metcalfe County,6.882664032515311,0.000381659973085,63077793.0765176,1.389559773618051
KY,Monroe County,7.972019940277748,0.000413312680036,137721382.47490928,1.147742802524526
KY,Montgomery County,9.375731239242056,0.001144931588647,1780442918.3755157,3.530318730879754
KY,Morgan County,6.351528598479087,0.002597515946902,26173131086.915768,11.465915768896048
KY,Muhlenberg County,10.50386360459998,0.000208797712438,589280639.9323986,1.703713601809693
KY,Nelson County,9.550370264848176,6.9431160667e-05,1063222016.0188826,1.098430098979339
KY,Nicholas County,6.854189644106835,0.0003547597487,24562537.149185203,0.616305511515548
KY,Ohio County,9.043949351055517,0.000151252423454,113325670.45911562,0.81774604052147
KY,Oldham County,1.943999738680925,2.8393668829e-05,1956605.675638584,0.028958635445948
KY,Owen County,7.875802383521598,1.8448712639e-05,3687685.6743737087,0.123491886694133
KY,Owsley County,7.788507097231826,0.005381790110253,8176258649.172907,16.713030858566956
KY,Pendleton County,6.838407023326197,2.5434649259e-05,8002399.569181107,0.165460933358895
KY,Perry County,14.7994659273311,0.007112714239339,11863928803.97373,15.944214074326734
KY,Pike County,12.663949470207871,0.010430223966775,41264545872.8484,23.70310863923125
KY,Powell County,13.492291253134812,0.001083017156863,7008255582.252882,7.98791399364537
KY,Pulaski County,13.445439647019189,0.001657746216823,3171488699.6146846,6.215520602262634
KY,Robertson County,6.17942889558247,0.000162961975784,0.0,0.0
KY,Rockcastle County,8.491311956503507,0.001726835349382,1721678389.6207905,5.110441577818104
KY,Rowan County,12.069556023210604,0.000870255963964,21988042549.774708,9.5628588436745
KY,Russell County,10.480380177031716,0.000632243781377,222585488.54816008,2.348743059241962
KY,Scott County,6.33854606053301,5.8622084591e-05,44653153.34412537,0.236598710434868
KY,Shelby County,7.340116697935675,3.4847276937e-05,230229290.10414883,0.622785835273546
KY,Simpson County,9.01799803074552,4.7512250655e-05,2550066.290836347,0.184491729922482
KY,Spencer County,3.724782583690386,5.1359850289e-05,218902449.5634609,0.414620226477681
KY,Taylor County,10.363765368735304,0.000218475545312,96979433.49597496,1.036733695057179
KY,Todd County,9.54230919187538,0.000101218885006,18202188.660969008,0.455175405352298
KY,Trigg County,12.078299472661003,0.000114067105498,225542623.54879683,1.12893143083058
KY,Trimble County,5.586752905623029,2.8371314672e-05,7760779.750094315,0.111299606342328
KY,Union County,9.373152282350691,2.4038115321e-05,0.0,0.0
KY,Warren County,12.635440164834538,0.000168722709605,214459057.6729656,0.870860799816076
KY,Washington County,6.603796883696813,0.000147056295873,115861885.64665288,0.744237385917914
KY,Wayne County,9.902424962636282,0.001271381512815,1607995816.02883,4.618568826423287
KY,Webster County,9.259639249887728,7.3288022768e-05,6995168.967542781,0.186635255324436
KY,Whitley County,12.964760815090148,0.005872893304423,29445861161.050537,19.82205877526665
KY,Wolfe County,9.41819362872124,0.002485659888672,13638944766.180002,16.7143099592664
KY,Woodford County,6.33259965196044,0.00012591574836,0.0,0.0
LA,Acadia County,18.548065147459177,0.000173628776091,33331897367.1774,6.215955534337088
LA,Allen County,9.791343889018284,0.00112661627809,11856493247.871063,5.221557935670413
LA,Ascension County,10.972384991540796,6.3853670264e-05,11024859271.704304,1.399051449285897
